run_name,experiment_group,hidden_dims,num_hidden_layers,activation,dropout,batchnorm,optimizer,learning_rate,scheduler,weight_decay,l1_lambda,best_val_loss,best_val_acc,best_epoch,final_test_loss,final_test_acc
baseline,baseline,"[256, 128]",2,relu,0.2,True,adam,0.001,none,0.0,0.0,0.06376128833293915,0.9792,6,,
arch_1x128,architecture,[128],1,relu,0.2,True,adam,0.001,none,0.0,0.0,0.075019634308666,0.9768,12,,
arch_2x256_128,architecture,"[256, 128]",2,relu,0.2,True,adam,0.001,none,0.0,0.0,0.06376128833293915,0.9792,6,,
arch_3x512_256_128,architecture,"[512, 256, 128]",3,relu,0.2,True,adam,0.001,none,0.0,0.0,0.057558491590619085,0.9828,7,,
arch_wide_512_256,architecture,"[512, 256]",2,relu,0.2,True,adam,0.001,none,0.0,0.0,0.05847052197158337,0.98,7,,
act_relu,activation,"[256, 128]",2,relu,0.2,True,adam,0.001,none,0.0,0.0,0.06376128833293915,0.9792,6,,
act_gelu,activation,"[256, 128]",2,gelu,0.2,True,adam,0.001,none,0.0,0.0,0.06378740692138672,0.9794,6,,
dropout_0p0,dropout,"[256, 128]",2,relu,0.0,True,adam,0.001,none,0.0,0.0,0.07151971452757716,0.9774,4,,
dropout_0p2,dropout,"[256, 128]",2,relu,0.2,True,adam,0.001,none,0.0,0.0,0.06376128833293915,0.9792,6,,
dropout_0p5,dropout,"[256, 128]",2,relu,0.5,True,adam,0.001,none,0.0,0.0,0.06767021846920251,0.9808,20,,
bn_off,batchnorm,"[256, 128]",2,relu,0.2,False,adam,0.001,none,0.0,0.0,0.07036040485948324,0.978,5,,
bn_on,batchnorm,"[256, 128]",2,relu,0.2,True,adam,0.001,none,0.0,0.0,0.06376128833293915,0.9792,6,,
l2_0,regularization,"[256, 128]",2,relu,0.2,True,adam,0.001,none,0.0,0.0,0.06376128833293915,0.9792,6,,
l2_1e5,regularization,"[256, 128]",2,relu,0.2,True,adam,0.001,none,1e-05,0.0,0.06257261781692505,0.9794,6,,
l2_1e4,regularization,"[256, 128]",2,relu,0.2,True,adam,0.001,none,0.0001,0.0,0.06618109763860702,0.9782,6,,
l2_1e3,regularization,"[256, 128]",2,relu,0.2,True,adam,0.001,none,0.001,0.0,0.0680105947971344,0.9782,11,,
l1_1e6,regularization,"[256, 128]",2,relu,0.2,True,adam,0.001,none,0.0,1e-06,0.06395036534667015,0.9796,6,,
l1_1e5,regularization,"[256, 128]",2,relu,0.2,True,adam,0.001,none,0.0,1e-05,0.06584369472265243,0.9802,6,,
lr_1e2,training,"[256, 128]",2,relu,0.2,True,adam,0.01,none,0.0,0.0,0.06553115629665554,0.9794,6,,
lr_1e3,training,"[256, 128]",2,relu,0.2,True,adam,0.001,none,0.0,0.0,0.06376128833293915,0.9792,6,,
lr_3e4,training,"[256, 128]",2,relu,0.2,True,adam,0.0003,none,0.0,0.0,0.06259554283618927,0.9804,15,,
sched_step,training,"[256, 128]",2,relu,0.2,True,adam,0.001,step,0.0,0.0,0.053969908782839776,0.9836,12,0.053634457280591595,0.9836
sched_plateau,training,"[256, 128]",2,relu,0.2,True,adam,0.001,plateau,0.0,0.0,0.05738349048309028,0.9832,18,,
no_early_stop,training,"[256, 128]",2,relu,0.2,True,adam,0.001,none,0.0,0.0,0.06264174484610557,0.9836,18,,
